date,close
2017-04-07,143.34
2017-04-07,143.34
2017-04-07,143.34
2017-04-07,143.34
2017-04-10,143.17
2017-04-10,143.17
2017-04-10,143.17
2017-04-10,143.17
2017-04-11,141.63
2017-04-11,141.63
2017-04-11,141.63
2017-04-11,141.63
2017-04-12,141.8
2017-04-12,141.8
2017-04-12,141.8
2017-04-12,141.8
2017-04-13,141.05
2017-04-13,141.05
2017-04-13,141.05
2017-04-13,141.05
2017-04-17,141.83
2017-04-17,141.83
2017-04-17,141.83
2017-04-17,141.83
2017-04-18,141.2
2017-04-18,141.2
2017-04-18,141.2
2017-04-18,141.2
2017-04-19,140.68
2017-04-19,140.68
2017-04-19,140.68
2017-04-19,140.68
2017-04-20,142.44
2017-04-20,142.44
2017-04-20,142.44
2017-04-20,142.44
2017-04-21,142.27
2017-04-21,142.27
2017-04-21,142.27
2017-04-21,142.27
2017-04-24,143.64
2017-04-24,143.64
2017-04-24,143.64
2017-04-24,143.64
2017-04-25,144.53
2017-04-25,144.53
2017-04-25,144.53
2017-04-25,144.53
2017-04-26,143.68
2017-04-26,143.68
2017-04-26,143.68
2017-04-26,143.68
2017-04-27,143.79
2017-04-27,143.79
2017-04-27,143.79
2017-04-27,143.79
2017-04-28,143.65
2017-04-28,143.65
2017-04-28,143.65
2017-04-28,143.65
2017-05-01,146.58
2017-05-01,146.58
2017-05-01,146.58
2017-05-01,146.58
2017-05-02,147.51
2017-05-02,147.51
2017-05-02,147.51
2017-05-02,147.51
2017-05-03,147.06
2017-05-03,147.06
2017-05-03,147.06
2017-05-03,147.06
2017-05-04,146.53
2017-05-04,146.53
2017-05-04,146.53
2017-05-04,146.53
2017-05-05,148.96
2017-05-05,148.96
2017-05-05,148.96
2017-05-05,148.96
2017-05-08,153.01
2017-05-08,153.01
2017-05-08,153.01
2017-05-08,153.01
2017-05-09,153.99
2017-05-09,153.99
2017-05-09,153.99
2017-05-09,153.99
2017-05-10,153.26
2017-05-10,153.26
2017-05-10,153.26
2017-05-10,153.26
2017-05-11,153.95
2017-05-11,153.95
2017-05-11,153.95
2017-05-11,153.95
2017-05-12,156.1
2017-05-12,156.1
2017-05-12,156.1
2017-05-12,156.1
2017-05-15,155.7
2017-05-15,155.7
2017-05-15,155.7
2017-05-15,155.7
2017-05-16,155.47
2017-05-16,155.47
2017-05-16,155.47
2017-05-16,155.47
2017-05-17,150.25
2017-05-17,150.25
2017-05-17,150.25
2017-05-17,150.25
2017-05-18,152.54
2017-05-18,152.54
2017-05-18,152.54
2017-05-18,152.54
2017-05-19,153.06
2017-05-19,153.06
2017-05-19,153.06
2017-05-19,153.06
2017-05-22,153.99
2017-05-22,153.99
2017-05-22,153.99
2017-05-22,153.99
2017-05-23,153.8
2017-05-23,153.8
2017-05-23,153.8
2017-05-23,153.8
2017-05-24,153.34
2017-05-24,153.34
2017-05-24,153.34
2017-05-24,153.34
2017-05-25,153.87
2017-05-25,153.87
2017-05-25,153.87
2017-05-25,153.87
2017-05-26,153.61
2017-05-26,153.61
2017-05-26,153.61
2017-05-26,153.61
2017-05-30,153.67
2017-05-30,153.67
2017-05-30,153.67
2017-05-30,153.67
2017-05-31,152.76
2017-05-31,152.76
2017-05-31,152.76
2017-05-31,152.76
2017-06-01,153.18
2017-06-01,153.18
2017-06-01,153.18
2017-06-01,153.18
2017-06-02,155.45
2017-06-02,155.45
2017-06-02,155.45
2017-06-02,155.45
2017-06-05,153.93
2017-06-05,153.93
2017-06-05,153.93
2017-06-05,153.93
2017-06-06,154.45
2017-06-06,154.45
2017-06-06,154.45
2017-06-06,154.45
2017-06-07,155.37
2017-06-07,155.37
2017-06-07,155.37
2017-06-07,155.37
2017-06-08,154.99
2017-06-08,154.99
2017-06-08,154.99
2017-06-08,154.99
2017-06-09,148.98
2017-06-09,148.98
2017-06-09,148.98
2017-06-09,148.98
2017-06-12,145.42
2017-06-12,145.42
2017-06-12,145.42
2017-06-12,145.42
2017-06-13,146.59
2017-06-13,146.59
2017-06-13,146.59
2017-06-13,146.59
2017-06-14,145.16
2017-06-14,145.16
2017-06-14,145.16
2017-06-14,145.16
2017-06-15,144.29
2017-06-15,144.29
2017-06-15,144.29
2017-06-15,144.29
2017-06-16,142.27
2017-06-16,142.27
2017-06-16,142.27
2017-06-16,142.27
2017-06-19,146.34
2017-06-19,146.34
2017-06-19,146.34
2017-06-19,146.34
2017-06-20,145.01
2017-06-20,145.01
2017-06-20,145.01
2017-06-20,145.01
2017-06-21,145.87
2017-06-21,145.87
2017-06-21,145.87
2017-06-21,145.87
2017-06-22,145.63
2017-06-22,145.63
2017-06-22,145.63
2017-06-22,145.63
2017-06-23,146.28
2017-06-23,146.28
2017-06-23,146.28
2017-06-23,146.28
2017-06-26,145.82
2017-06-26,145.82
2017-06-26,145.82
2017-06-26,145.82
2017-06-27,143.73
2017-06-27,143.73
2017-06-27,143.73
2017-06-27,143.73
2017-06-28,145.83
2017-06-28,145.83
2017-06-28,145.83
2017-06-28,145.83
2017-06-29,143.68
2017-06-29,143.68
2017-06-29,143.68
2017-06-29,143.68
2017-06-30,144.02
2017-06-30,144.02
2017-06-30,144.02
2017-06-30,144.02
2017-07-03,143.5
2017-07-03,143.5
2017-07-03,143.5
2017-07-03,143.5
2017-07-05,144.09
2017-07-05,144.09
2017-07-05,144.09
2017-07-05,144.09
2017-07-06,142.73
2017-07-06,142.73
2017-07-06,142.73
2017-07-06,142.73
2017-07-07,144.18
2017-07-07,144.18
2017-07-07,144.18
2017-07-07,144.18
2017-07-10,145.06
2017-07-10,145.06
2017-07-10,145.06
2017-07-10,145.06
2017-07-11,145.53
2017-07-11,145.53
2017-07-11,145.53
2017-07-11,145.53
2017-07-12,145.74
2017-07-12,145.74
2017-07-12,145.74
2017-07-12,145.74
2017-07-13,147.77
2017-07-13,147.77
2017-07-13,147.77
2017-07-13,147.77
2017-07-14,149.04
2017-07-14,149.04
2017-07-14,149.04
2017-07-14,149.04
2017-07-17,149.56
2017-07-17,149.56
2017-07-17,149.56
2017-07-17,149.56
2017-07-18,150.08
2017-07-18,150.08
2017-07-18,150.08
2017-07-18,150.08
2017-07-19,151.02
2017-07-19,151.02
2017-07-19,151.02
2017-07-19,151.02
2017-07-20,150.34
2017-07-20,150.34
2017-07-20,150.34
2017-07-20,150.34
2017-07-21,150.27
2017-07-21,150.27
2017-07-21,150.27
2017-07-21,150.27
2017-07-24,152.09
2017-07-24,152.09
2017-07-24,152.09
2017-07-24,152.09
2017-07-25,152.74
2017-07-25,152.74
2017-07-25,152.74
2017-07-25,152.74
2017-07-26,153.46
2017-07-26,153.46
2017-07-26,153.46
2017-07-26,153.46
2017-07-27,150.56
2017-07-27,150.56
2017-07-27,150.56
2017-07-27,150.56
2017-07-28,149.5
2017-07-28,149.5
2017-07-28,149.5
2017-07-28,149.5
2017-07-31,148.73
2017-07-31,148.73
2017-07-31,148.73
2017-07-31,148.73
2017-08-01,150.05
2017-08-01,150.05
2017-08-01,150.05
2017-08-01,150.05
2017-08-02,157.14
2017-08-02,157.14
2017-08-02,157.14
2017-08-02,157.14
2017-08-03,155.57
2017-08-03,155.57
2017-08-03,155.57
2017-08-03,155.57
2017-08-04,156.39
2017-08-04,156.39
2017-08-04,156.39
2017-08-04,156.39
2017-08-07,158.81
2017-08-07,158.81
2017-08-07,158.81
2017-08-07,158.81
2017-08-08,160.08
2017-08-08,160.08
2017-08-08,160.08
2017-08-08,160.08
2017-08-09,161.06
2017-08-09,161.06
2017-08-09,161.06
2017-08-09,161.06
2017-08-10,155.32
2017-08-10,155.32
2017-08-10,155.32
2017-08-10,155.32
2017-08-11,157.48
2017-08-11,157.48
2017-08-11,157.48
2017-08-11,157.48
2017-08-14,159.85
2017-08-14,159.85
2017-08-14,159.85
2017-08-14,159.85
2017-08-15,161.6
2017-08-15,161.6
2017-08-15,161.6
2017-08-15,161.6
2017-08-16,160.95
2017-08-16,160.95
2017-08-16,160.95
2017-08-16,160.95
2017-08-17,157.86
2017-08-17,157.86
2017-08-17,157.86
2017-08-17,157.86
2017-08-18,157.5
2017-08-18,157.5
2017-08-18,157.5
2017-08-18,157.5
2017-08-21,157.21
2017-08-21,157.21
2017-08-21,157.21
2017-08-21,157.21
2017-08-22,159.78
2017-08-22,159.78
2017-08-22,159.78
2017-08-22,159.78
2017-08-23,159.98
2017-08-23,159.98
2017-08-23,159.98
2017-08-23,159.98
2017-08-24,159.27
2017-08-24,159.27
2017-08-24,159.27
2017-08-24,159.27
2017-08-25,159.86
2017-08-25,159.86
2017-08-25,159.86
2017-08-25,159.86
2017-08-28,161.47
2017-08-28,161.47
2017-08-28,161.47
2017-08-28,161.47
2017-08-29,162.91
2017-08-29,162.91
2017-08-29,162.91
2017-08-29,162.91
2017-08-30,163.35
2017-08-30,163.35
2017-08-30,163.35
2017-08-30,163.35
2017-08-31,164.0
2017-08-31,164.0
2017-08-31,164.0
2017-08-31,164.0
2017-09-01,164.05
2017-09-01,164.05
2017-09-01,164.05
2017-09-01,164.05
2017-09-05,162.08
2017-09-05,162.08
2017-09-05,162.08
2017-09-05,162.08
2017-09-06,161.91
2017-09-06,161.91
2017-09-06,161.91
2017-09-06,161.91
2017-09-07,161.26
2017-09-07,161.26
2017-09-07,161.26
2017-09-07,161.26
2017-09-08,158.63
2017-09-08,158.63
2017-09-08,158.63
2017-09-08,158.63
2017-09-11,161.5
2017-09-11,161.5
2017-09-11,161.5
2017-09-11,161.5
2017-09-12,160.86
2017-09-12,160.86
2017-09-12,160.86
2017-09-12,160.86
2017-09-13,159.65
2017-09-13,159.65
2017-09-13,159.65
2017-09-13,159.65
2017-09-14,158.28
2017-09-14,158.28
2017-09-14,158.28
2017-09-14,158.28
2017-09-15,159.88
2017-09-15,159.88
2017-09-15,159.88
2017-09-15,159.88
2017-09-18,158.67
2017-09-18,158.67
2017-09-18,158.67
2017-09-18,158.67
2017-09-19,158.73
2017-09-19,158.73
2017-09-19,158.73
2017-09-19,158.73
2017-09-20,156.07
2017-09-20,156.07
2017-09-20,156.07
2017-09-20,156.07
2017-09-21,153.39
2017-09-21,153.39
2017-09-21,153.39
2017-09-21,153.39
2017-09-22,151.89
2017-09-22,151.89
2017-09-22,151.89
2017-09-22,151.89
2017-09-25,150.55
2017-09-25,150.55
2017-09-25,150.55
2017-09-25,150.55
2017-09-26,153.14
2017-09-26,153.14
2017-09-26,153.14
2017-09-26,153.14
2017-09-27,154.23
2017-09-27,154.23
2017-09-27,154.23
2017-09-27,154.23
2017-09-28,153.28
2017-09-28,153.28
2017-09-28,153.28
2017-09-28,153.28
2017-09-29,154.12
2017-09-29,154.12
2017-09-29,154.12
2017-09-29,154.12
2017-10-02,153.81
2017-10-02,153.81
2017-10-02,153.81
2017-10-02,153.81
2017-10-03,154.48
2017-10-03,154.48
2017-10-03,154.48
2017-10-03,154.48
2017-10-04,153.48
2017-10-04,153.48
2017-10-04,153.48
2017-10-04,153.48
2017-10-05,155.39
2017-10-05,155.39
2017-10-05,155.39
2017-10-05,155.39
2017-10-06,155.3
2017-10-06,155.3
2017-10-06,155.3
2017-10-06,155.3
2017-10-09,155.84
2017-10-09,155.84
2017-10-09,155.84
2017-10-09,155.84
2017-10-10,155.9
2017-10-10,155.9
2017-10-10,155.9
2017-10-10,155.9
2017-10-11,156.55
2017-10-11,156.55
2017-10-11,156.55
2017-10-11,156.55
2017-10-12,156.0
2017-10-12,156.0
2017-10-12,156.0
2017-10-12,156.0
2017-10-13,156.99
2017-10-13,156.99
2017-10-13,156.99
2017-10-13,156.99
2017-10-16,159.88
2017-10-16,159.88
2017-10-16,159.88
2017-10-16,159.88
2017-10-17,160.47
2017-10-17,160.47
2017-10-17,160.47
2017-10-17,160.47
2017-10-18,159.76
2017-10-18,159.76
2017-10-18,159.76
2017-10-18,159.76
2017-10-19,155.98
2017-10-19,155.98
2017-10-19,155.98
2017-10-19,155.98
2017-10-20,156.25
2017-10-20,156.25
2017-10-20,156.25
2017-10-20,156.25
2017-10-23,156.17
2017-10-23,156.17
2017-10-23,156.17
2017-10-23,156.17
2017-10-24,157.1
2017-10-24,157.1
2017-10-24,157.1
2017-10-24,157.1
2017-10-25,156.41
2017-10-25,156.41
2017-10-25,156.41
2017-10-25,156.41
2017-10-26,157.41
2017-10-26,157.41
2017-10-26,157.41
2017-10-26,157.41
2017-10-27,163.05
2017-10-27,163.05
2017-10-27,163.05
2017-10-27,163.05
2017-10-30,166.72
2017-10-30,166.72
2017-10-30,166.72
2017-10-30,166.72
2017-10-31,169.04
2017-10-31,169.04
2017-10-31,169.04
2017-10-31,169.04
2017-11-01,166.89
2017-11-01,166.89
2017-11-01,166.89
2017-11-01,166.89
2017-11-02,168.11
2017-11-02,168.11
2017-11-02,168.11
2017-11-02,168.11
2017-11-03,172.5
2017-11-03,172.5
2017-11-03,172.5
2017-11-03,172.5
2017-11-06,174.25
2017-11-06,174.25
2017-11-06,174.25
2017-11-06,174.25
2017-11-07,174.81
2017-11-07,174.81
2017-11-07,174.81
2017-11-07,174.81
2017-11-08,176.24
2017-11-08,176.24
2017-11-08,176.24
2017-11-08,176.24
2017-11-09,175.88
2017-11-09,175.88
2017-11-09,175.88
2017-11-09,175.88
2017-11-10,174.67
2017-11-10,174.67
2017-11-10,174.67
2017-11-10,174.67
2017-11-13,173.97
2017-11-13,173.97
2017-11-13,173.97
2017-11-13,173.97
2017-11-14,171.34
2017-11-14,171.34
2017-11-14,171.34
2017-11-14,171.34
2017-11-15,169.08
2017-11-15,169.08
2017-11-15,169.08
2017-11-15,169.08
2017-11-16,171.1
2017-11-16,171.1
2017-11-16,171.1
2017-11-16,171.1
2017-11-17,170.15
2017-11-17,170.15
2017-11-17,170.15
2017-11-17,170.15
2017-11-20,169.98
2017-11-20,169.98
2017-11-20,169.98
2017-11-20,169.98
2017-11-21,173.14
2017-11-21,173.14
2017-11-21,173.14
2017-11-21,173.14
2017-11-22,174.96
2017-11-22,174.96
2017-11-22,174.96
2017-11-22,174.96
2017-11-24,174.97
2017-11-24,174.97
2017-11-24,174.97
2017-11-24,174.97
2017-11-27,174.09
2017-11-27,174.09
2017-11-27,174.09
2017-11-27,174.09
2017-11-28,173.07
2017-11-28,173.07
2017-11-28,173.07
2017-11-28,173.07
2017-11-29,169.48
2017-11-29,169.48
2017-11-29,169.48
2017-11-29,169.48
2017-11-30,171.85
2017-11-30,171.85
2017-11-30,171.85
2017-11-30,171.85
2017-12-01,171.05
2017-12-01,171.05
2017-12-01,171.05
2017-12-01,171.05
2017-12-04,169.8
2017-12-04,169.8
2017-12-04,169.8
2017-12-04,169.8
2017-12-05,169.64
2017-12-05,169.64
2017-12-05,169.64
2017-12-05,169.64
2017-12-06,169.01
2017-12-06,169.01
2017-12-06,169.01
2017-12-06,169.01
2017-12-07,169.32
2017-12-07,169.32
2017-12-07,169.32
2017-12-07,169.32
2017-12-08,169.37
2017-12-08,169.37
2017-12-08,169.37
2017-12-08,169.37
2017-12-11,172.67
2017-12-11,172.67
2017-12-11,172.67
2017-12-11,172.67
2017-12-12,171.7
2017-12-12,171.7
2017-12-12,171.7
2017-12-12,171.7
2017-12-13,172.27
2017-12-13,172.27
2017-12-13,172.27
2017-12-13,172.27
2017-12-14,172.22
2017-12-14,172.22
2017-12-14,172.22
2017-12-14,172.22
2017-12-15,173.97
2017-12-15,173.97
2017-12-15,173.97
2017-12-15,173.97
2017-12-18,176.42
2017-12-18,176.42
2017-12-18,176.42
2017-12-18,176.42
2017-12-19,174.54
2017-12-19,174.54
2017-12-19,174.54
2017-12-19,174.54
2017-12-20,174.35
2017-12-20,174.35
2017-12-20,174.35
2017-12-20,174.35
2017-12-21,175.01
2017-12-21,175.01
2017-12-21,175.01
2017-12-21,175.01
2017-12-22,175.01
2017-12-22,175.01
2017-12-22,175.01
2017-12-22,175.01
2017-12-26,170.57
2017-12-26,170.57
2017-12-26,170.57
2017-12-26,170.57
2017-12-27,170.6
2017-12-27,170.6
2017-12-27,170.6
2017-12-27,170.6
2017-12-28,171.08
2017-12-28,171.08
2017-12-28,171.08
2017-12-28,171.08
2017-12-29,169.23
2017-12-29,169.23
2017-12-29,169.23
2017-12-29,169.23
2018-01-02,172.26
2018-01-02,172.26
2018-01-02,172.26
2018-01-02,172.26
2018-01-03,172.23
2018-01-03,172.23
2018-01-03,172.23
2018-01-03,172.23
2018-01-04,173.03
2018-01-04,173.03
2018-01-04,173.03
2018-01-04,173.03
2018-01-05,175.0
2018-01-05,175.0
2018-01-05,175.0
2018-01-05,175.0
2018-01-08,174.35
2018-01-08,174.35
2018-01-08,174.35
2018-01-08,174.35
2018-01-09,174.33
2018-01-09,174.33
2018-01-09,174.33
2018-01-09,174.33
2018-01-10,174.29
2018-01-10,174.29
2018-01-10,174.29
2018-01-10,174.29
2018-01-11,175.28
2018-01-11,175.28
2018-01-11,175.28
2018-01-11,175.28
2018-01-12,177.09
2018-01-12,177.09
2018-01-12,177.09
2018-01-12,177.09
2018-01-16,176.19
2018-01-16,176.19
2018-01-16,176.19
2018-01-16,176.19
2018-01-17,179.1
2018-01-17,179.1
2018-01-17,179.1
2018-01-17,179.1
2018-01-18,179.26
2018-01-18,179.26
2018-01-18,179.26
2018-01-18,179.26
2018-01-19,178.46
2018-01-19,178.46
2018-01-19,178.46
2018-01-19,178.46
2018-01-22,177.0
2018-01-22,177.0
2018-01-22,177.0
2018-01-22,177.0
2018-01-23,177.04
2018-01-23,177.04
2018-01-23,177.04
2018-01-23,177.04
2018-01-24,175.11
2018-01-24,175.11
2018-01-24,175.11
2018-01-24,175.11
2018-01-25,171.11
2018-01-25,171.11
2018-01-25,171.11
2018-01-25,171.11
2018-01-26,171.51
2018-01-26,171.51
2018-01-26,171.51
2018-01-26,171.51
2018-01-29,167.96
2018-01-29,167.96
2018-01-29,167.96
2018-01-29,167.96
2018-01-30,166.91
2018-01-30,166.91
2018-01-30,166.91
2018-01-30,166.91
2018-01-31,167.43
2018-01-31,167.43
2018-01-31,167.43
2018-01-31,167.43
2018-02-01,167.78
2018-02-01,167.78
2018-02-01,167.78
2018-02-01,167.78
2018-02-02,160.5
2018-02-02,160.5
2018-02-02,160.5
2018-02-02,160.5
2018-02-05,156.49
2018-02-05,156.49
2018-02-05,156.49
2018-02-05,156.49
2018-02-06,163.03
2018-02-06,163.03
2018-02-06,163.03
2018-02-06,163.03
2018-02-07,159.54
2018-02-07,159.54
2018-02-07,159.54
2018-02-07,159.54
2018-02-08,155.15
2018-02-08,155.15
2018-02-08,155.15
2018-02-08,155.15
2018-02-09,156.41
2018-02-09,156.41
2018-02-09,156.41
2018-02-09,156.41
2018-02-12,162.71
2018-02-12,162.71
2018-02-12,162.71
2018-02-12,162.71
2018-02-13,164.34
2018-02-13,164.34
2018-02-13,164.34
2018-02-13,164.34
2018-02-14,167.37
2018-02-14,167.37
2018-02-14,167.37
2018-02-14,167.37
2018-02-15,172.99
2018-02-15,172.99
2018-02-15,172.99
2018-02-15,172.99
2018-02-16,172.43
2018-02-16,172.43
2018-02-16,172.43
2018-02-16,172.43
2018-02-20,171.85
2018-02-20,171.85
2018-02-20,171.85
2018-02-20,171.85
2018-02-21,171.07
2018-02-21,171.07
2018-02-21,171.07
2018-02-21,171.07
2018-02-22,172.5
2018-02-22,172.5
2018-02-22,172.5
2018-02-22,172.5
2018-02-23,175.5
2018-02-23,175.5
2018-02-23,175.5
2018-02-23,175.5
2018-02-26,178.97
2018-02-26,178.97
2018-02-26,178.97
2018-02-26,178.97
2018-02-27,178.39
2018-02-27,178.39
2018-02-27,178.39
2018-02-27,178.39
2018-02-28,178.12
2018-02-28,178.12
2018-02-28,178.12
2018-02-28,178.12
2018-03-01,175.0
2018-03-01,175.0
2018-03-01,175.0
2018-03-01,175.0
2018-03-02,176.21
2018-03-02,176.21
2018-03-02,176.21
2018-03-02,176.21
2018-03-05,176.82
2018-03-05,176.82
2018-03-05,176.82
2018-03-05,176.82
2018-03-06,176.67
2018-03-06,176.67
2018-03-06,176.67
2018-03-06,176.67
2018-03-07,175.03
2018-03-07,175.03
2018-03-07,175.03
2018-03-07,175.03
2018-03-08,176.94
2018-03-08,176.94
2018-03-08,176.94
2018-03-08,176.94
2018-03-09,179.98
2018-03-09,179.98
2018-03-09,179.98
2018-03-09,179.98
2018-03-12,181.72
2018-03-12,181.72
2018-03-12,181.72
2018-03-12,181.72
2018-03-13,179.97
2018-03-13,179.97
2018-03-13,179.97
2018-03-13,179.97
2018-03-14,178.44
2018-03-14,178.44
2018-03-14,178.44
2018-03-14,178.44
2018-03-15,178.65
2018-03-15,178.65
2018-03-15,178.65
2018-03-15,178.65
2018-03-16,178.02
2018-03-16,178.02
2018-03-16,178.02
2018-03-16,178.02
2018-03-19,175.3
2018-03-19,175.3
2018-03-19,175.3
2018-03-19,175.3
2018-03-20,175.24
2018-03-20,175.24
2018-03-20,175.24
2018-03-20,175.24
2018-03-21,171.27
2018-03-21,171.27
2018-03-21,171.27
2018-03-21,171.27
2018-03-22,168.85
2018-03-22,168.85
2018-03-22,168.85
2018-03-22,168.85
2018-03-23,164.94
2018-03-23,164.94
2018-03-23,164.94
2018-03-23,164.94
2018-03-26,172.77
2018-03-26,172.77
2018-03-26,172.77
2018-03-26,172.77
2018-03-27,168.34
2018-03-27,168.34
2018-03-27,168.34
2018-03-27,168.34
2018-03-28,166.48
2018-03-28,166.48
2018-03-28,166.48
2018-03-28,166.48
2018-03-29,167.78
2018-03-29,167.78
2018-03-29,167.78
2018-03-29,167.78
2018-04-02,166.68
2018-04-02,166.68
2018-04-02,166.68
2018-04-02,166.68
2018-04-03,168.39
2018-04-03,168.39
2018-04-03,168.39
2018-04-03,168.39
2018-04-04,171.61
2018-04-04,171.61
2018-04-04,171.61
2018-04-04,171.61
2018-04-05,172.8
2018-04-05,172.8
2018-04-05,172.8
2018-04-05,172.8
2018-04-06,168.38
2018-04-06,168.38
2018-04-06,168.38
2018-04-06,168.38
2018-04-09,170.05
2018-04-09,170.05
2018-04-09,170.05
2018-04-09,170.05
2018-04-10,173.25
2018-04-10,173.25
2018-04-10,173.25
2018-04-10,173.25
2018-04-11,172.44
2018-04-11,172.44
2018-04-11,172.44
2018-04-11,172.44
2018-04-12,174.14
2018-04-12,174.14
2018-04-12,174.14
2018-04-12,174.14
2018-04-13,174.73
2018-04-13,174.73
2018-04-13,174.73
2018-04-13,174.73
2018-04-16,175.82
2018-04-16,175.82
2018-04-16,175.82
2018-04-16,175.82
2018-04-17,178.24
2018-04-17,178.24
2018-04-17,178.24
2018-04-17,178.24
2018-04-18,177.84
2018-04-18,177.84
2018-04-18,177.84
2018-04-18,177.84
2018-04-19,172.8
2018-04-19,172.8
2018-04-19,172.8
2018-04-19,172.8
2018-04-20,165.72
2018-04-20,165.72
2018-04-20,165.72
2018-04-20,165.72
2018-04-23,165.24
2018-04-23,165.24
2018-04-23,165.24
2018-04-23,165.24
2018-04-24,162.94
2018-04-24,162.94
2018-04-24,162.94
2018-04-24,162.94
2018-04-25,163.65
2018-04-25,163.65
2018-04-25,163.65
2018-04-25,163.65
2018-04-26,164.22
2018-04-26,164.22
2018-04-26,164.22
2018-04-26,164.22
2018-04-27,162.32
2018-04-27,162.32
2018-04-27,162.32
2018-04-27,162.32
2018-04-30,165.26
2018-04-30,165.26
2018-04-30,165.26
2018-04-30,165.26
2018-05-01,169.1
2018-05-01,169.1
2018-05-01,169.1
2018-05-01,169.1
2018-05-02,176.57
2018-05-02,176.57
2018-05-02,176.57
2018-05-02,176.57
2018-05-03,176.89
2018-05-03,176.89
2018-05-03,176.89
2018-05-03,176.89
2018-05-04,183.83
2018-05-04,183.83
2018-05-04,183.83
2018-05-04,183.83
2018-05-07,185.16
2018-05-07,185.16
2018-05-07,185.16
2018-05-07,185.16
2018-05-08,186.05
2018-05-08,186.05
2018-05-08,186.05
2018-05-08,186.05
2018-05-09,187.36
2018-05-09,187.36
2018-05-09,187.36
2018-05-09,187.36
2018-05-10,190.04
2018-05-10,190.04
2018-05-10,190.04
2018-05-10,190.04
2018-05-11,188.59
2018-05-11,188.59
2018-05-11,188.59
2018-05-11,188.59
2018-05-14,188.15
2018-05-14,188.15
2018-05-14,188.15
2018-05-14,188.15
2018-05-15,186.44
2018-05-15,186.44
2018-05-15,186.44
2018-05-15,186.44
2018-05-16,188.18
2018-05-16,188.18
2018-05-16,188.18
2018-05-16,188.18
2018-05-17,186.99
2018-05-17,186.99
2018-05-17,186.99
2018-05-17,186.99
2018-05-18,186.31
2018-05-18,186.31
2018-05-18,186.31
2018-05-18,186.31
2018-05-21,187.63
2018-05-21,187.63
2018-05-21,187.63
2018-05-21,187.63
2018-05-22,187.16
2018-05-22,187.16
2018-05-22,187.16
2018-05-22,187.16
2018-05-23,188.36
2018-05-23,188.36
2018-05-23,188.36
2018-05-23,188.36
2018-05-24,188.15
2018-05-24,188.15
2018-05-24,188.15
2018-05-24,188.15
2018-05-25,188.58
2018-05-25,188.58
2018-05-25,188.58
2018-05-25,188.58
2018-05-29,187.9
2018-05-29,187.9
2018-05-29,187.9
2018-05-29,187.9
2018-05-30,187.5
2018-05-30,187.5
2018-05-30,187.5
2018-05-30,187.5
2018-05-31,186.87
2018-05-31,186.87
2018-05-31,186.87
2018-05-31,186.87
2018-06-01,190.24
2018-06-01,190.24
2018-06-01,190.24
2018-06-01,190.24
2018-06-04,191.83
2018-06-04,191.83
2018-06-04,191.83
2018-06-04,191.83
2018-06-05,193.31
2018-06-05,193.31
2018-06-05,193.31
2018-06-05,193.31
2018-06-06,193.98
2018-06-06,193.98
2018-06-06,193.98
2018-06-06,193.98
2018-06-07,193.46
2018-06-07,193.46
2018-06-07,193.46
2018-06-07,193.46
2018-06-08,190.66
2018-06-08,190.66
2018-06-08,190.66
2018-06-08,190.66
2018-06-11,191.23
2018-06-11,191.23
2018-06-11,191.23
2018-06-11,191.23
2018-06-12,192.28
2018-06-12,192.28
2018-06-12,192.28
2018-06-12,192.28
2018-06-13,190.7
2018-06-13,190.7
2018-06-13,190.7
2018-06-13,190.7
2018-06-14,190.8
2018-06-14,190.8
2018-06-14,190.8
2018-06-14,190.8
2018-06-15,188.84
2018-06-15,188.84
2018-06-15,188.84
2018-06-15,188.84
2018-06-18,188.74
2018-06-18,188.74
2018-06-18,188.74
2018-06-18,188.74
2018-06-19,185.69
2018-06-19,185.69
2018-06-19,185.69
2018-06-19,185.69
2018-06-20,186.5
2018-06-20,186.5
2018-06-20,186.5
2018-06-20,186.5
2018-06-21,185.46
2018-06-21,185.46
2018-06-21,185.46
2018-06-21,185.46
2018-06-22,184.92
2018-06-22,184.92
2018-06-22,184.92
2018-06-22,184.92
2018-06-25,182.17
2018-06-25,182.17
2018-06-25,182.17
2018-06-25,182.17
2018-06-26,184.43
2018-06-26,184.43
2018-06-26,184.43
2018-06-26,184.43
2018-06-27,184.16
2018-06-27,184.16
2018-06-27,184.16
2018-06-27,184.16
2018-06-28,185.5
2018-06-28,185.5
2018-06-28,185.5
2018-06-28,185.5
2018-06-29,185.11
2018-06-29,185.11
2018-06-29,185.11
2018-06-29,185.11
2018-07-02,187.18
2018-07-02,187.18
2018-07-02,187.18
2018-07-02,187.18
2018-07-03,183.92
2018-07-03,183.92
2018-07-03,183.92
2018-07-03,183.92
2018-07-05,185.4
2018-07-05,185.4
2018-07-05,185.4
2018-07-05,185.4
2018-07-06,187.97
2018-07-06,187.97
2018-07-06,187.97
2018-07-06,187.97
2018-07-09,190.58
2018-07-09,190.58
2018-07-09,190.58
2018-07-09,190.58
2018-07-10,190.35
2018-07-10,190.35
2018-07-10,190.35
2018-07-10,190.35
2018-07-11,187.88
2018-07-11,187.88
2018-07-11,187.88
2018-07-11,187.88
2018-07-12,191.03
2018-07-12,191.03
2018-07-12,191.03
2018-07-12,191.03
